fold,test_speaker,val_speaker,best_epoch,val_auc,val_threshold,auc_max_excised,bacc_max_excised,eer_max_excised,recall_max_excised,spec_max_excised,auc_top3_excised,bacc_top3_excised,eer_top3_excised,recall_top3_excised,spec_top3_excised,auc_lse_excised,bacc_lse_excised,eer_lse_excised,recall_lse_excised,spec_lse_excised,held_recall,held_specificity,held_balanced
test_01_val_02,01,02,20,0.7492,-3.7045533657073975,0.8788004997917535,0.8265306122448979,0.1836734693877551,0.7959183673469388,0.8571428571428571,0.8821324448146606,0.8367346938775511,0.1836734693877551,0.7755102040816326,0.8979591836734694,0.8754685547688463,0.8367346938775511,0.1836734693877551,0.8571428571428571,0.8163265306122449,0.9795918367346939,0.12244897959183673,0.5510204081632653
test_02_val_03,02,03,12,0.9564,-3.469982624053955,0.6252,0.62,0.42,0.86,0.38,0.648,0.64,0.38,0.8,0.48,0.646,0.6699999999999999,0.36,0.76,0.58,0.36,0.74,0.55
test_03_val_04,03,04,17,0.7418133214524393,-2.3270020484924316,0.9724,0.9299999999999999,0.08,0.96,0.9,0.9704,0.94,0.08,0.96,0.92,0.9708,0.9299999999999999,0.1,0.96,0.9,0.94,0.9,0.9199999999999999
test_04_val_05,04,05,20,0.9603024574669187,-2.2388768196105957,0.7551793272443751,0.708955223880597,0.31343283582089554,0.835820895522388,0.582089552238806,0.7627533971931388,0.7238805970149254,0.30597014925373134,0.8059701492537313,0.6417910447761194,0.758743595455558,0.7164179104477613,0.2835820895522388,0.7313432835820896,0.7014925373134329,0.7313432835820896,0.6567164179104478,0.6940298507462687
test_05_val_06,05,06,9,0.9471053727613494,-0.4535799026489258,0.9338374291115312,0.8913043478260869,0.14130434782608697,0.8478260869565217,0.9347826086956522,0.9437618147448015,0.9130434782608696,0.10869565217391304,0.8913043478260869,0.9347826086956522,0.9333648393194707,0.9130434782608696,0.10869565217391304,0.8913043478260869,0.9347826086956522,0.717391304347826,1.0,0.8586956521739131
test_06_val_07,06,07,10,0.7673611111111112,-1.8972599506378174,0.929612661391087,0.8979591836734694,0.12244897959183673,0.8367346938775511,0.9591836734693877,0.9379425239483549,0.8979591836734694,0.14285714285714285,0.8571428571428571,0.9387755102040817,0.9287796751353603,0.8979591836734694,0.14285714285714285,0.8367346938775511,0.9591836734693877,0.9795918367346939,0.40816326530612246,0.6938775510204082
test_07_val_01,07,01,11,0.8596418159100375,-2.1163859367370605,0.7547743055555556,0.6875,0.3125,0.6875,0.6875,0.7565104166666666,0.6979166666666667,0.3541666666666667,0.8958333333333334,0.5,0.7278645833333334,0.6875,0.375,0.875,0.5,0.8333333333333334,0.5416666666666666,0.6875
