fold,test_speaker,val_speaker,best_epoch,val_auc,val_threshold,auc_max_excised,bacc_max_excised,eer_max_excised,recall_max_excised,spec_max_excised,auc_top3_excised,bacc_top3_excised,eer_top3_excised,recall_top3_excised,spec_top3_excised,auc_lse_excised,bacc_lse_excised,eer_lse_excised,recall_lse_excised,spec_lse_excised,held_recall,held_specificity,held_balanced
test_01_val_02,01,02,18,0.796,-3.2099385261535645,0.8779675135360266,0.8367346938775511,0.1836734693877551,0.9183673469387755,0.7551020408163265,0.8837984173261141,0.826530612244898,0.20408163265306123,0.9183673469387755,0.7346938775510204,0.8717201166180758,0.846938775510204,0.16326530612244897,0.8571428571428571,0.8367346938775511,0.9795918367346939,0.1836734693877551,0.5816326530612245
test_02_val_03,02,03,15,0.966,-3.0144057273864746,0.6328,0.64,0.42,0.82,0.46,0.6644,0.66,0.36,0.76,0.56,0.6248,0.62,0.44,0.94,0.3,0.34,0.76,0.55
test_03_val_04,03,04,17,0.7696591668523056,-2.5102810859680176,0.9752,0.94,0.06,0.96,0.92,0.9676,0.9299999999999999,0.08,0.98,0.88,0.9692,0.9299999999999999,0.08,0.94,0.92,0.94,0.88,0.9099999999999999
test_04_val_05,04,05,16,0.9603024574669187,-1.77484130859375,0.7614167966139452,0.7537313432835822,0.31343283582089554,0.8507462686567164,0.6567164179104478,0.7674314992203163,0.7313432835820896,0.29850746268656714,0.8507462686567164,0.6119402985074627,0.7625306304299398,0.7238805970149254,0.29850746268656714,0.8507462686567164,0.5970149253731343,0.7313432835820896,0.7014925373134329,0.7164179104477613
test_05_val_06,05,06,11,0.9275301957517701,-0.04887247085571289,0.917296786389414,0.8695652173913044,0.15217391304347827,0.8043478260869565,0.9347826086956522,0.9314744801512287,0.8804347826086956,0.13043478260869565,0.8913043478260869,0.8695652173913043,0.9243856332703214,0.8804347826086957,0.13043478260869565,0.8260869565217391,0.9347826086956522,0.2608695652173913,1.0,0.6304347826086957
test_06_val_07,06,07,6,0.7621527777777778,-1.4970457553863525,0.8721366097459392,0.8163265306122449,0.20408163265306123,0.7551020408163265,0.8775510204081632,0.8883798417326114,0.8265306122448979,0.20408163265306123,0.8775510204081632,0.7755102040816326,0.8721366097459392,0.8163265306122449,0.1836734693877551,0.9183673469387755,0.7142857142857143,0.9591836734693877,0.16326530612244897,0.5612244897959183
test_07_val_01,07,01,11,0.8400666389004582,-2.022695541381836,0.7026909722222222,0.6666666666666666,0.375,0.5416666666666666,0.7916666666666666,0.7213541666666666,0.6875,0.3541666666666667,0.6041666666666666,0.7708333333333334,0.6905381944444444,0.6770833333333333,0.3541666666666667,0.8541666666666666,0.5,0.6458333333333334,0.6458333333333334,0.6458333333333334
