fold,test_speaker,val_speaker,best_epoch,val_auc,val_threshold,auc_max_excised,bacc_max_excised,eer_max_excised,recall_max_excised,spec_max_excised,auc_top3_excised,bacc_top3_excised,eer_top3_excised,recall_top3_excised,spec_top3_excised,auc_lse_excised,bacc_lse_excised,eer_lse_excised,recall_lse_excised,spec_lse_excised,held_recall,held_specificity,held_balanced
test_01_val_02,01,02,20,0.7644,-3.0284934043884277,0.8721366097459392,0.8265306122448979,0.1836734693877551,0.8979591836734694,0.7551020408163265,0.8754685547688463,0.8265306122448979,0.20408163265306123,0.8775510204081632,0.7755102040816326,0.8608912952936276,0.8367346938775511,0.16326530612244897,0.8367346938775511,0.8367346938775511,0.9795918367346939,0.2857142857142857,0.6326530612244898
test_02_val_03,02,03,9,0.9672,-2.5210394859313965,0.6528,0.65,0.42,0.88,0.42,0.6708,0.65,0.38,0.9,0.4,0.68,0.6699999999999999,0.38,0.84,0.5,0.4,0.82,0.61
test_03_val_04,03,04,17,0.7513922922699933,-2.6802854537963867,0.9652,0.9299999999999999,0.08,0.96,0.9,0.9652,0.9299999999999999,0.08,0.94,0.92,0.9628,0.9299999999999999,0.08,0.94,0.92,0.94,0.88,0.9099999999999999
test_04_val_05,04,05,7,0.9465973534971645,-1.0024144649505615,0.6486968144352863,0.6194029850746269,0.40298507462686567,0.417910447761194,0.8208955223880597,0.6696368901759857,0.6268656716417911,0.3880597014925373,0.5223880597014925,0.7313432835820896,0.6573847182000445,0.6343283582089552,0.3880597014925373,0.4626865671641791,0.8059701492537313,0.5373134328358209,0.6716417910447762,0.6044776119402986
test_05_val_06,05,06,14,0.9179508538109121,-1.3491002321243286,0.8842155009451795,0.8478260869565217,0.15217391304347827,0.8478260869565217,0.8478260869565217,0.8960302457466919,0.8586956521739131,0.15217391304347827,0.8478260869565217,0.8695652173913043,0.8993383742911153,0.8804347826086956,0.13043478260869565,0.8478260869565217,0.9130434782608695,0.6739130434782609,0.9130434782608695,0.7934782608695652
test_06_val_07,06,07,10,0.8016493055555556,-2.1946518421173096,0.9366930445647647,0.8979591836734694,0.12244897959183673,0.8775510204081632,0.9183673469387755,0.9396084964598084,0.9081632653061225,0.12244897959183673,0.8775510204081632,0.9387755102040817,0.9366930445647647,0.8979591836734694,0.12244897959183673,0.8775510204081632,0.9183673469387755,0.9795918367346939,0.3877551020408163,0.6836734693877551
test_07_val_01,07,01,12,0.8525614327363599,-2.2918224334716797,0.8068576388888888,0.7395833333333333,0.30208333333333337,0.8125,0.6666666666666666,0.8146701388888888,0.75,0.2708333333333333,0.8958333333333334,0.6041666666666666,0.7682291666666666,0.6979166666666667,0.3333333333333333,0.5,0.8958333333333334,0.5,0.8958333333333334,0.6979166666666667
